me,username,location
Feed My Starving Children,feed_my_starving_children,Coon Rapids
American Red Cross,american_red_cross,Minneapolis
Bridging,bridging,Bloomington
Underdog Rescue,underdog_rescue,St. Louis Park
Second Harvest Heartland,second_harvest_heartland,Brooklyn Park
